CedenAnalyteName,AnalyteName,AnalyteDescription,CASNumber,Concatenate,AnalyteGroup1,AnalyteGroup2,AnalyteGroup3,AnalyteGroup4,AnalyteGroup5,AnalyteGroup6,Notes
,"Methylphenol, 3-",3-Methylphenol,0,,Organic,Semi-VOCs,,,,,
,"Methylphenol, 3/4-",3-Methylphenol/4-Methylphenol,106445,,Organic,Organic,,Non-Chlorinated Phenols,Semi-VOCs,,
,"Methylphenol, 4-",4-Methylphenol,0,,Organic,Semi-VOCs,,,,,
,Methylprednisolone,Methylprednisolone,83432,,Organic,Organic,,,,,
,"Methylpyridine, 2-",2-Methylpyridine,0,,Organic,Organic,,,,,
,Metiram,Metiram,0,,Organic,Pesticide,,,,,
,Metolachlor,Metolachlor,51218452,,Organic,Organic,,,,,
,Metolachlor ethanesulfonic acid,Metolachlor ethanesulfonic acid,171000000,,Organic,Organic,,,,,
,Metolachlor oxanilic acid,Metolachlor oxanilic acid,0,,Organic,Pesticide,,,,,
,Metoprolol,Metoprolol,51384511,,Organic,Organic,,,,,
,Metribuzin,Metribuzin,21087649,,Organic,Organic,,,,,
,Metsulfuron Methyl,Metsulfuron Methyl,74223646,,Organic,Organic,,,,,
,Mevinphos,Mevinphos (Phosdrin),7786347,,Organic,Organic,,Pesticide,Insecticide,,
,Mexacarbate,Mexacarbate,315184,,Organic,Organic,,Pesticide,Insecticide,,
,MGK 264,"MGK 264 (N-(2-Ethylhexyl)-5-norbornene-2,3-dicarboximide)",0,,Organic,Organic,,Insecticide,,,Originally had no tags - all current tags were assigned manually
,Miconazole,Miconazole,22916478,,Organic,Organic,,,,,
,Microalgae Thickness,Thickness of microalgae (if present) at a point along a transect,0,,Physical/Habitat,,,,,,
,Microcystin-LA,Microcystin-LA (MCY-LA),96180799,,Microbiological,Microbiological,,,,,
,Microcystin-LF,Microcystin-LF (MCY-LF),154000000,,Microbiological,Microbiological,,,,,
,Microcystin-LR,Microcystin-LR (MCY-LR),101000000,,Microbiological,Microbiological,,,,,
,Microcystin-LW,Microcystin-LW (MCY-LW),158000000,,Microbiological,Microbiological,,,,,
,Microcystin-LY,Microcystin-LY (MCY-LY),123000000,,Microbiological,Microbiological,,,,,
,Microcystin-RR,Microcystin-RR (MCY-RR),112000000,,Microbiological,Microbiological,,,,,
,"Microcystins, Total",Total Microcystins,0,,Microbiological,Cyanotoxins,,,,,
,Microcystin-YR,Microcystin-YR (MCY-YR),101000000,,Microbiological,Microbiological,,,,,
,Milk Carton,Milk Carton,0,,Physical/Habitat,Plastic,,Trash,Food Service,,
,"Mines, Quaries","Mines, Quaries",0,,Physical/Habitat,,,,,,
"Mirex, Total",Mirex,Mirex,2385855,,Organic,Organic,,Pesticide,Insecticide,,
,Miscellaneous,Miscellaneous using Trash Protocol,0,,Trash,,,,,,
,"Miscellaneous, Other","Miscellaneous, Other",0,,Physical/Habitat,Plastic,,Trash,Miscellaneous,,
"Moisture, Total",Moisture,Moisture,0,,Organic,Conventional,,,,,
,Molinate,Molinate (Ordram),2212671,,Organic,Organic,,Pesticide,,,
,Molinate sulfoxide,Molinate sulfoxide,52236290,,Organic,Organic,,,,,
,Molybdenum,Molybdenum,7439987,,Inorganic,Inorganic,,,,,
,"Molybdenum, Acid Labile",Acid Labile Molybdenum,0,,Inorganic,Metal,,,,,
,Monobromophenyl-hexachloro-norbornene-1,Monobromophenyl-hexachloro-norbornene (Br-DEC604 isomer 1),0,,Organic,Flame Retardants,,,,,
,Monobromophenyl-hexachloro-norbornene-2,Monobromophenyl-hexachloro-norbornene (Br-DEC604 isomer 2),0,,Organic,Flame Retardants,,,,,
,Monobromophenyl-hexachloro-norbornene-3,Monobromophenyl-hexachloro-norbornene (Br-DEC604 isomer 3),0,,Organic,Flame Retardants,,,,,
,Monobutyltin as Sn,Monobutyltin as Sn (MBT),78763549,,Organic,Organic,,Biocide,,,
,Monocrotophos,Monocrotophos,6923224,,Organic,Organic,,Pesticide,Insecticide,,
,Mono-dechlorinated Dechlorane Plus,Mono-dechlorinated Dechlorane Plus (C11-DP),0,,Organic,Flame Retardants,,,,,
,Monomethyl tetrachloroterephthalate,Monomethyl tetrachloroterephthalate (MTP),887547,,Organic,Organic,,,,,
,Monomethylarsonic Acid,Monomethylarsonic Acid,0,,Inorganic,Metal,,,,,
,Monuron,Monuron,150685,,Organic,Organic,,Pesticide,Herbicide,,
,Monuron-TCA,Monuron-TCA,140410,,Organic,Organic,,,,,
,Mortality/Abnormality,Mortality/Abnormality (%),0,,Toxicity,,,,,,
,Mortality/Normality,Mortality/Normality (%),0,,Toxicity,,,,,,
,Motor Oil,Motor Oil,0,,Organic,PAH,,,,,
,Musk Ambrette,Musk Ambrette,0,,Organic,Musk,,,,,
,Musk Ketone,Musk Ketone,0,,Organic,Musk,,,,,
,Musk Moskene,Musk Moskene,0,,Organic,Musk,,,,,
,Musk Xylene,Musk Xylene,0,,Organic,Musk,,,,,
,Mutagenicity,Mutagenicity,0,,Toxicity,,,,,,
,Myclobutanil,Myclobutanil,88671890,,Organic,Organic,,,,,
,Nabam,Nabam,0,,Organic,Pesticide,,,,,
,Nail/Screw/Bolt,Nail/Screw/Bolt,0,,Physical/Habitat,Metal,,Debris,Trash,,
,Naled,Naled (Dibrom),300765,,Organic,Organic,,Pesticide,Insecticide,,
"Naphthalene, Total",Naphthalene,Naphthalene,91203,,Organic,Organic,,LMW PAH,Semi-VOCs,,
"Naphthalenes, C1-, Total","Naphthalenes, C1-",C1-Naphthalenes,0,,Organic,Organic,,LMW PAH,Semi-VOCs,,
"Naphthalenes, C2-, Total","Naphthalenes, C2-",C2-Naphthalenes,0,,Organic,Organic,,LMW PAH,Semi-VOCs,,
"Naphthalenes, C3-, Total","Naphthalenes, C3-",C3-Naphthalenes,0,,Organic,Organic,,LMW PAH,Semi-VOCs,,
"Naphthalenes, C4-, Total","Naphthalenes, C4-",C4-Naphthalenes,0,,Organic,Organic,,LMW PAH,Semi-VOCs,,
,Naphthobenzothiophene,Naphthobenzothiophene,0,,Organic,PAH,,,,,
,"Naphthobenzothiophene, C1-",C1-Naphthobenzothiophene,0,,Organic,PAH,,,,,
,"Naphthobenzothiophene, C2-",C2-Naphthobenzothiophene,0,,Organic,PAH,,,,,
,"Naphthobenzothiophene, C3-",C3-Naphthobenzothiophene,0,,Organic,PAH,,,,,
,Napropamide,Napropamide,15299997,,Organic,Organic,,Herbicide,,,
,Naproxen,Naproxen,22204531,,Organic,Organic,,,,,
,"Naptalam, sodium salt","Naptalam, sodium salt",132672,,Organic,Organic,,,,,
,Napthalene,Napthalene,0,,Organic,,,,,,
,"Natural, cotton/wool","Natural, cotton/wool",0,,Physical/Habitat,Non-Plastic,,Biodegradable,Trash,,
,Neburon,Neburon,555373,,Organic,Organic,,Pesticide,Herbicide,,
,Neodymium,Neodymium,7440008,,Inorganic,Inorganic,,,,,
,Nest,Nest (%),0,,Toxicity,,,,,,
"Nickel, Total",Nickel,Nickel,7440020,,Inorganic,Inorganic,,Trace Elements,,,
"Nickel, Total",Nickel,Nickel,7440020,,Inorganic,Inorganic,,Trace Elements,,,
,Nicosulfuron,Nicosulfuron,112000000,,Organic,Organic,,,,,
,NID as CTAS,4-Nitro-Inden-1-One (NID) as Cobalt Thiocyanate Active Substances (CTAS),0,,Radiochemistry,,,,,,Originally had no tags - all current tags were assigned manually
,Niobium,Niobium,7440031,,Inorganic,Inorganic,,,,,
,Nitralin,Nitralin,0,,Organic,Pesticide,,,,,
,Nitrapyrin,Nitrapyrin,0,,Organic,Pesticide,,,,,
,Nitrate + Nitrite as N,Nitrate + Nitrite as N,0,,Inorganic,Nutrient,,,,,
,Nitrate as N,Nitrate as N,14797558,,Inorganic,Inorganic,,Water Quality Measurements,Conventional,,
,Nitrate as NO3,Nitrate as Nitrate,14797558,,Inorganic,Inorganic,,,,,
,Nitrite as N,Nitrite as N,14797650,,Inorganic,Inorganic,,Conventional,,,
,"Nitroaniline, 2-",2-Nitroaniline,88744,,Organic,Organic,,,,,
,"Nitroaniline, 3-",3-Nitroaniline,99092,,Organic,Organic,,,,,
,"Nitroaniline, 4-",4-Nitroaniline,100016,,Organic,Organic,,,,,
,Nitrobenzene,Nitrobenzene,98953,,Organic,Organic,,,,,
,Nitrofen,Nitrofen,0,,Organic,Pesticide,,,,,
,Nitrogen Oxide,Nitrogen Oxide,10102439,,Inorganic,Inorganic,,,,,
,"Nitrogen, Inorganic",Inorganic Nitrogen as N,0,,Inorganic,,,,,,
,"Nitrogen, Organic",Organic Nitrogen as N,7727379,,Inorganic,Inorganic,,Conventional,,,
"Nitrogen, Total, Total","Nitrogen, Total",Total Nitrogen,0,,Inorganic,Nutrient,,Conventional,,,
"Nitrogen, Total Kjeldahl, Total","Nitrogen, Total Kjeldahl",Total Kjeldahl Nitrogen (TKN),7727379,,Inorganic,Inorganic,,Conventional,,,
,Nitrogen-15,Nitrogen-15,29817796,,Organic,Organic,,,,,
,"Nitrophenol, 2-",2-Nitrophenol,88755,,Organic,Organic,,Non-Chlorinated Phenols,Semi-VOCs,,
,"Nitrophenol, 4-",4-Nitrophenol,100027,,Organic,Organic,,Non-Chlorinated Phenols,Semi-VOCs,,
,"Nitrosodiethylamine, N-",N-Nitrosodiethylamine,0,,Organic,Organic,,,,,
,"Nitrosodimethylamine, N-",N-Nitrosodimethylamine,0,,Organic,Semi-VOCs,,,,,
,"Nitrosodi-n-propylamine, N-",N-Nitrosodi-n-propylamine,621647,,Organic,Organic,,,,,
,"Nitrosodiphenylamine, N-",N-Nitrosodiphenylamine,0,,Organic,Semi-VOCs,,,,,
,"Nitrosomethylethylamine, N-",N-Nitrosomethylethylamine,0,,Organic,Semi-VOCs,,,,,
,No Debris Collected,No Debris Collected,0,,Physical/Habitat,Debris,,Survey,,,
,No Debris Present,No Debris Present,0,,Physical/Habitat,Debris,,Survey,,,
,Nodularin,Nodularin,118000000,,Microbiological,Microbiological,,,,,
,NoItems,Number of Items using Trash Protocol,0,,Trash,,,,,,
"Nonachlor, cis-, Total","Nonachlor, cis-",cis-Nonachlor,5103731,,Organic,Organic,,Pesticide,Endocrine Disruptors,,
"Nonachlor, trans-, Total","Nonachlor, trans-",trans-Nonachlor,39765805,,Organic,Organic,,Pesticide,Endocrine Disruptors,,
,"Nonacosane, n-",n-Nonacosane,630035,,Organic,Organic,,,,,
,"Nonadecane, n-",n-Nonadecane,629925,,Organic,Organic,,,,,
,Nonane,Nonane (C9),111842,,Organic,Organic,,,,,
,None,Used for non-treated samples,0,,Water Quality Measurements,Toxicity Treatment,,,,,
,Nonylphenol,Nonylphenol,25154523,,Organic,Organic,,Non-Chlorinated Phenols,Surfacants,,
,"Nonylphenol Diethoxylate, 4-",4-Nonylphenol Diethoxylate,0,,Organic,PPCP,,,,,
,"Nonylphenol Monoethoxylate, 4-",4-Nonylphenol Monoethoxylate,0,,Organic,PPCP,,,,,
,"Nonylphenol, 4-n-",4-n-Nonylphenol,104405,,Organic,Organic,,,,,
,"Nonylphenol, p-",p-Nonylphenol,0,,Organic,Phenol,,,,,
,"Nonylphenol, tech-",tech-Nonylphenol (Branched p-nonylphenol),84852153,,Organic,Organic,,,,,
,Nonylphenolethoxylate,Nonylphenolethoxylate,9016459,,Organic,Organic,Phenol,Non-Chlorinated Phenols,Surfacants,,
,Norfloxacin,Norfloxacin,70458967,,Organic,Organic,PPCP,,,,
,Norfluoxetine,Norfluoxetine,127000000,,Organic,Organic,PPCP,,,,
,Norflurazon,"Norflurazon (3(2H)-Pyridazinone, 4-chloro-5-(methylamino)-2-[3-(trifluoromethyl)phenyl]-) (Telok)",27314132,,Organic,Organic,Pesticide,Herbicide,,,
,Norgestimate,Norgestimate,35189287,,Organic,Organic,PPCP,,,,
Normal Development,Normal Development,Normal Development (%),0,,Toxicity,,,,,,
,Norverapamil,Norverapamil,67018853,,Organic,Organic,PPCP,,,,
,Novaluron,Novaluron,117000000,,Organic,Organic,Pesticide,Herbicide,,,
,"O,O,O-Triethyl phosphorothioate","O,O,O-Triethyl phosphorothioate",0,,Inorganic,,,,,,Originally had no tags - all current tags were assigned manually
,ObservedChannelFlowLevel,ObservedChannelFlowLevel,0,,Physical/Habitat,Field Observations,,,,,
,ObservedFlow,ObservedFlow,0,,Physical/Habitat,Field Observations,,,,,
,"OCDD, 1,2,3,4,6,7,8,9-","1,2,3,4,6,7,8,9-Octachlordibenzo-p-dioxin (OCDD)",3268879,,Organic,Organic,PCDDs and PCDFs,Dioxins,Dibenzofurans,,
,"OCDF, 1,2,3,4,6,7,8,9-","1,2,3,4,6,7,8,9-Octachlordibenzofuran (OCDF)",39001020,,Organic,Organic,PCDDs and PCDFs,Dioxins,Dibenzofurans,,
,"Octabromo-1,3,3-trimethyl-1-phenylindane","Octabromo-1,3,3-trimethyl-1-phenylindane (OBIND)",156000000,,Organic,Organic,Flame Retardants,,,,
,Octachlorostyrene,Octachlorostyrene,0,,Organic,Organic,VOC,,,,
,"Octacosane, n-",n-Octacosane,0,,Organic,Alkane,,,,,
,"Octadecane, n-",n-Octadecane,0,,Organic,Alkane,,,,,
,"Octyl bicycloheptene dicarboximide, N-",N-Octyl bicycloheptene dicarboximide,0,,Organic,Pesticide,,,,,
,Octylammonium Methanearsonate,Octylammonium Methanearsonate,0,,Organic,Pesticide,Herbicide,,,,
,Octylphenol,Octylphenol,0,,Organic,PPCP,,,,,
,Odor,Odor,0,,Physical/Habitat,Field Observations,,,,,
,Odor Intensity,Odor Intensity - Specific to EMAP BA (characterizes intensity of odor),0,,Physical/Habitat,,,,,,
,Offspring,Offspring (#),0,,Toxicity,,,,,,
,Ofloxacin,Ofloxacin,82419361,,Organic,Organic,PPCP,,,,
,"Oil, Gas Wells","Oil, Gas Wells",0,,Physical/Habitat,,,,,,
,OilandGrease; HEM,"Oil and Grease, N-Hexane Extractable Material",0,,Organic,PAH,,,,,
,OilandGrease; SGT-HEM,"Oil and Grease, Silica Gel Treated N-Hexane Extractable Material (Non-Polar Material Not Adsorbed by Silica Gel)",0,,Organic,PAH,,,,,
,Okadaic Acid,Okadaic Acid,78111178,,Microbiological,Microbiological,Cyanotoxins,,,,
,Omethoate,Omethoate,0,,Organic,Pesticide,Insecticide,,,,
,Open Shell Volume,Open Shell Volume (weight (in grams) of water displaced by each empty bivalve),0,,Organic,Metal,Conventional,Inorganic,,,
,Orchards,Orchards,0,,Physical/Habitat,,,,,,
,Ormetoprim,Ormetoprim,0,,Organic,PPCP,,,,,
,OrthoPhosphate as P,Reactive Phosphorous (PO4),14265442,,Inorganic,Inorganic,Nutrient,Conventional,,,
,Oryzalin,Oryzalin (Rycelan) (Ryzelan) (Surflan),19044883,,Organic,Organic,Herbicide,,,,
,Osmoregulation,Osmoregulation,0,,Toxicity,,,,,,
,OtherPresence,OtherPresence,0,,Physical/Habitat,Field Observations,,,,,
,Outfall Accessibility,Outfall Accessibility,0,,Field Observations,,,,,,Originally had no tags - all current tags were assigned manually
,Outfall Structural Cond,Structural condition of the outfall,0,,Field Observations,,,,,,Originally had no tags - all current tags were assigned manually
,"Outfall, Distance from Transect","Outfall, Distance from Transect",0,,Physical/Habitat,Debris,,,,,
,"Outfall, Within Transect","Outfall, Within Transect",0,,Physical/Habitat,Debris,,,,,
,OverlandRunoffLast24hrs,Influence of overland runoff during last 24 hours,0,,Physical/Habitat,Constituents,Field Observations,,,,
,Oxacillin,Oxacillin,66795,,Organic,Organic,PPCP,,,,
"Oxadiazon, Total",Oxadiazon,Oxadiazon,19666309,,Organic,Organic,Organochlorine,Pesticide,,,
,Oxamyl,Oxamyl,23135220,,Organic,Organic,Carbamates,Pesticide,Insecticide,,
,Oxidation-Reduction Potential,Oxidation-Reduction Potential (OPR),0,,Water Quality Measurements,Conventional,,,,,
,Oxolinic Acid,Oxolinic Acid,14698294,,Organic,Organic,PPCP,,,,
,Oxycarboxin,Oxycarboxin,5259881,,Organic,Organic,Pesticide,,,,
"Oxychlordane, Total",Oxychlordane,Oxychlordane,27304138,,Organic,Organic,Organochlorine,Pesticide,Endocrine Disruptors,,
,Oxycodone,Oxycodone,76426,,Organic,Organic,PPCP,,,,
,Oxydemeton-methyl,Oxydemeton-methyl,301122,,Organic,Organic,Pesticide,,,,
,Oxyfluorfen,Oxyfluorfen (Goal),42874033,,Organic,Organic,Organochlorine,Pesticide,,,
"Oxygen, Dissolved, Total","Oxygen, Dissolved",Dissolved Oxygen (DO),0,,Water Quality Measurements,Conventional,,,,,
"Oxygen, Saturation, Total","Oxygen, Saturation","Oxygen, Saturation",0,,Water Quality Measurements,Conventional,,,,,
,Oxygen-18/Oxygen-16 Ratio,Oxygen-18/Oxygen-16 Ratio,14797718,,Isotope,Isotope,,,,,
,Oxytetracycline,Oxytetracycline,79572,,Organic,Organic,PPCP,,,,
,Oxythioquinox,Oxythioquinox (Chinomethionate),0,,Organic,Pesticide,Fungicide,,,,
,Paclobutrazol,Paclobutrazol,76738620,,Organic,Organic,Pesticide,Fungicide,,,
,Paper/Cardboard,Paper/Cardboard,0,,Physical/Habitat,Non-Plastic,Debris,Biodegradable,Trash,,
,PAR,Photosynthetically Active Radiation (PAR),0,,Water Quality Measurements,,,,,,
,Paraoxon,Paraoxon,0,,Organic,Pesticide,Insecticide,,,,
,Paraquat,Paraquat,4685147,,Organic,Organic,Pesticide,Herbicide,,,
,Paraquat Bis(methylsulfate),Paraquat Bis(methylsulfate),0,,Organic,Pesticide,Herbicide,,,,
,Paraquat Dichloride,Paraquat Dichloride,1910425,,Organic,Organic,Pesticide,Herbicide,,,
"Parathion, Ethyl, Total","Parathion, Ethyl",Ethyl Parathion (Parathion),56382,,Organic,Organic,Organophosphate,Pesticide,Insecticide,,
"Parathion, Methyl, Total","Parathion, Methyl",Methyl Parathion,298000,,Organic,Organic,Organophosphate,Pesticide,Insecticide,,
,"Parathion, Total",Total Parathion,0,,Organic,Organic,Pesticide,Insecticide,Arachnicide,,Originally had no tags - all current tags were assigned manually
,"Parks, Campgrounds","Parks, Campgrounds",0,,Physical/Habitat,,,,,,
,Paroxetine,Paroxetine,61869087,,Organic,Organic,PPCP,,,,
,Particulate Organic Carbon,Particulate Organic Carbon (POC),0,,Inorganic,Conventional,,,,,
,Particulate Organic Hydrogen,Particulate Organic Hydrogen,0,,Inorganic,Conventional,,,,,
,Pasture,Pasture,0,,Physical/Habitat,,,,,,
,PBB 001,Polybrominated Biphenyl (PBB) 1,0,,Organic,Flame Retardants,,,,,
,PBB 002,Polybrominated Biphenyl (PBB) 2,0,,Organic,Flame Retardants,,,,,
,PBB 003,Polybrominated Biphenyl (PBB) 3,0,,Organic,Flame Retardants,,,,,
,PBB 004,Polybrominated Biphenyl (PBB) 4,0,,Organic,Flame Retardants,,,,,
,PBB 007,Polybrominated Biphenyl (PBB) 7,0,,Organic,Flame Retardants,,,,,
,PBB 009,Polybrominated Biphenyl (PBB) 9,0,,Organic,Flame Retardants,,,,,
,PBB 010,Polybrominated Biphenyl (PBB) 10,0,,Organic,Flame Retardants,,,,,
,PBB 015,Polybrominated Biphenyl (PBB) 15,0,,Organic,Flame Retardants,,,,,
,PBB 018,Polybrominated Biphenyl (PBB) 18,0,,Organic,Flame Retardants,,,,,
,PBB 026,Polybrominated Biphenyl (PBB) 26,0,,Organic,Flame Retardants,,,,,
,PBB 030,Polybrominated Biphenyl (PBB) 30,0,,Organic,Flame Retardants,,,,,
,PBB 031,Polybrominated Biphenyl (PBB) 31,0,,Organic,Flame Retardants,,,,,
,PBB 049,Polybrominated Biphenyl (PBB) 49,0,,Organic,Flame Retardants,,,,,
,PBB 052,Polybrominated Biphenyl (PBB) 52,0,,Organic,Flame Retardants,,,,,
,PBB 053,Polybrominated Biphenyl (PBB) 53,0,,Organic,Flame Retardants,,,,,
,PBB 077,Polybrominated Biphenyl (PBB) 77,0,,Organic,Flame Retardants,,,,,
,PBB 080,Polybrominated Biphenyl (PBB) 80,0,,Organic,Flame Retardants,,,,,
,PBB 103,Polybrominated Biphenyl (PBB) 103,0,,Organic,Flame Retardants,,,,,
,PBB 155,Polybrominated Biphenyl (PBB) 155,0,,Organic,Flame Retardants,,,,,
,PBDE 001,Polybrominated Diphenyl Ether (PBDE) 1,0,,Organic,Flame Retardants,,,,,
,PBDE 002,Polybrominated Diphenyl Ether (PBDE) 2,0,,Organic,Flame Retardants,,,,,
,PBDE 003,Polybrominated Diphenyl Ether (PBDE) 3,0,,Organic,Flame Retardants,,,,,
,PBDE 007,Polybrominated Diphenyl Ether (PBDE) 7,0,,Organic,Flame Retardants,,,,,
,PBDE 008,Polybrominated Diphenyl Ether (PBDE) 8,0,,Organic,Flame Retardants,,,,,
,PBDE 008/11,Polybrominated Diphenyl Ether (PBDE) 8/11,0,,Organic,PBDE,Flame Retardants,,,,
,PBDE 010,Polybrominated Diphenyl Ether (PBDE) 10,0,,Organic,Flame Retardants,,,,,
,PBDE 011,Polybrominated Diphenyl Ether (PBDE) 11,0,,Organic,Flame Retardants,,,,,
,PBDE 012,Polybrominated Diphenyl Ether (PBDE) 12,0,,Organic,Flame Retardants,,,,,
,PBDE 012/13,Polybrominated Diphenyl Ether (PBDE) 12/13,0,,Organic,PBDE,Flame Retardants,,,,
,PBDE 013,Polybrominated Diphenyl Ether (PBDE) 13,0,,Organic,Flame Retardants,,,,,
,PBDE 015,Polybrominated Diphenyl Ether (PBDE) 15,0,,Organic,Flame Retardants,,,,,
"PBDE 017, Total",PBDE 017,Polybrominated Diphenyl Ether (PBDE) 17,49690940,,Organic,Organic,PBDE,Flame Retardants,,,
"PBDE 017/25, Total",PBDE 017/25,Polybrominated Diphenyl Ether (PBDE) 17/25,0,,Organic,PBDE,Flame Retardants,,,,
,PBDE 025,Polybrominated Diphenyl Ether (PBDE) 25,0,,Organic,Flame Retardants,,,,,
"PBDE 028, Total",PBDE 028,Polybrominated Diphenyl Ether (PBDE) 28,6430906,,Organic,Organic,PBDE,Flame Retardants,,,
"PBDE 028/33, Total",PBDE 028/33,Polybrominated Diphenyl Ether (PBDE) 28/33,0,,Organic,PBDE,Flame Retardants,,,,
"PBDE 030, Total",PBDE 030,Polybrominated Diphenyl Ether (PBDE) 30,0,,Organic,Flame Retardants,,,,,
,PBDE 032,Polybrominated Diphenyl Ether (PBDE) 32,0,,Organic,Flame Retardants,,,,,
,PBDE 033,Polybrominated Diphenyl Ether (PBDE) 33,0,,Organic,Flame Retardants,,,,,
,PBDE 035,Polybrominated Diphenyl Ether (PBDE) 35,0,,Organic,Flame Retardants,,,,,
,PBDE 037,Polybrominated Diphenyl Ether (PBDE) 37,0,,Organic,Flame Retardants,,,,,
"PBDE 047, Total",PBDE 047,Polybrominated Diphenyl Ether (PBDE) 47,5436431,,Organic,Organic,PBDE,Flame Retardants,,,
"PBDE 049, Total",PBDE 049,Polybrominated Diphenyl Ether (PBDE) 49,0,,Organic,Flame Retardants,,,,,
,PBDE 049/71,Polybrominated Diphenyl Ether (PBDE) 49/71,0,,Organic,Semi-VOCs,,,,,
,PBDE 051,Polybrominated Diphenyl Ether (PBDE) 51,0,,Organic,Flame Retardants,,,,,
"PBDE 066, Total",PBDE 066,Polybrominated Diphenyl Ether (PBDE) 66,84303457,,Organic,Organic,PBDE,Flame Retardants,,,
,PBDE 071,Polybrominated Diphenyl Ether (PBDE) 71,0,,Organic,Flame Retardants,,,,,
,PBDE 075,Polybrominated Diphenyl Ether (PBDE) 75,0,,Organic,Flame Retardants,,,,,
,PBDE 077,Polybrominated Diphenyl Ether (PBDE) 77,0,,Organic,Flame Retardants,,,,,
,PBDE 079,Polybrominated Diphenyl Ether (PBDE) 79,0,,Organic,Flame Retardants,,,,,
"PBDE 085, Total",PBDE 085,Polybrominated Diphenyl Ether (PBDE) 85,182000000,,Organic,Organic,PBDE,Flame Retardants,,,
"PBDE 099, Total",PBDE 099,Polybrominated Diphenyl Ether (PBDE) 99,60348609,,Organic,Organic,PBDE,Flame Retardants,,,
"PBDE 100, Total",PBDE 100,Polybrominated Diphenyl Ether (PBDE) 100,97038976,,Organic,Organic,PBDE,Flame Retardants,,,
,PBDE 105,Polybrominated Diphenyl Ether (PBDE) 105,0,,Organic,Flame Retardants,,,,,
,PBDE 116,Polybrominated Diphenyl Ether (PBDE) 116,0,,Organic,Flame Retardants,,,,,
,PBDE 118,Polybrominated Diphenyl Ether (PBDE) 118,0,,Organic,Flame Retardants,,,,,
,PBDE 119,Polybrominated Diphenyl Ether (PBDE) 119,0,,Organic,Flame Retardants,,,,,
,PBDE 119/120,Polybrominated Diphenyl Ether (PBDE) 119/120,0,,Organic,PBDE,Flame Retardants,,,,
,PBDE 120,Polybrominated Diphenyl Ether (PBDE) 120,0,,Organic,Flame Retardants,,,,,
,PBDE 126,Polybrominated Diphenyl Ether (PBDE) 126,0,,Organic,Flame Retardants,,,,,
,PBDE 128,Polybrominated Diphenyl Ether (PBDE) 128,0,,Organic,Flame Retardants,,,,,
PBDE 138,PBDE 138,Polybrominated Diphenyl Ether (PBDE) 138,67888986,,Organic,Organic,PBDE,Flame Retardants,,,
,PBDE 138/166,Polybrominated Diphenyl Ether (PBDE) 138/166,0,,Organic,PBDE,Flame Retardants,,,,
,PBDE 139,Polybrominated Diphenyl Ether (PBDE) 139,0,,Organic,Flame Retardants,,,,,
,PBDE 140,Polybrominated Diphenyl Ether (PBDE) 140,0,,Organic,Flame Retardants,,,,,
"PBDE 153, Total",PBDE 153,Polybrominated Diphenyl Ether (PBDE) 153,68631492,,Organic,Organic,PBDE,Flame Retardants,,,
"PBDE 154, Total",PBDE 154,Polybrominated Diphenyl Ether (PBDE) 154,36402150,,Organic,Organic,PBDE,Flame Retardants,,,
,PBDE 155,Polybrominated Diphenyl Ether (PBDE) 155,0,,Organic,Flame Retardants,,,,,
,PBDE 160,Polybrominated Diphenyl Ether (PBDE) 160,0,,Organic,Semi-VOCs,,,,,
,PBDE 166,Polybrominated Diphenyl Ether (PBDE) 166,0,,Organic,Flame Retardants,,,,,
"PBDE 179, Total",PBDE 179,Polybrominated Diphenyl Ether (PBDE) 179,0,,Organic,Flame Retardants,,,,,
,PBDE 181,Polybrominated Diphenyl Ether (PBDE) 181,0,,Organic,Flame Retardants,,,,,
"PBDE 183, Total",PBDE 183,Polybrominated Diphenyl Ether (PBDE) 183,68928803,,Organic,Organic,PBDE,Flame Retardants,,,
"PBDE 184, Total",PBDE 184,Polybrominated Diphenyl Ether (PBDE) 184,0,,Organic,Flame Retardants,,,,,
"PBDE 188, Total",PBDE 188,Polybrominated Diphenyl Ether (PBDE) 188,0,,Organic,Flame Retardants,,,,,
"PBDE 190, Total",PBDE 190,Polybrominated Diphenyl Ether (PBDE) 190,79682250,,Organic,Organic,PBDE,Flame Retardants,,,
,PBDE 194,Polybrominated Diphenyl Ether (PBDE) 194,0,,Organic,Flame Retardants,,,,,
,PBDE 195,Polybrominated Diphenyl Ether (PBDE) 195,0,,Organic,Flame Retardants,,,,,
,PBDE 196,Polybrominated Diphenyl Ether (PBDE) 196,0,,Organic,Flame Retardants,,,,,
,PBDE 197,Polybrominated Diphenyl Ether (PBDE) 197,0,,Organic,Flame Retardants,,,,,
,PBDE 198,Polybrominated Diphenyl Ether (PBDE) 198,0,,Organic,Flame Retardants,,,,,
,PBDE 200,Polybrominated Diphenyl Ether (PBDE) 200,0,,Organic,Flame Retardants,,,,,
"PBDE 200/203, Total",PBDE 200/203,Polybrominated Diphenyl Ether (PBDE) 200/203,0,,Organic,PBDE,Flame Retardants,,,,
"PBDE 201, Total",PBDE 201,Polybrominated Diphenyl Ether (PBDE) 201,0,,Organic,Flame Retardants,,,,,
"PBDE 202, Total",PBDE 202,Polybrominated Diphenyl Ether (PBDE) 202,0,,Organic,Flame Retardants,,,,,
