CedenAnalyteName,AnalyteName,AnalyteDescription,CASNumber,Concatenate,AnalyteGroup1,AnalyteGroup2,AnalyteGroup3,AnalyteGroup4,AnalyteGroup5,AnalyteGroup6,Notes
,"Aluminum, Organic Monomeric",Organic Monomeric Aluminum (Organic Reactive),0,"Chemical,Inorganic,Metal,Trace Elements",Inorganic,Inorganic,Metal,Trace Elements,,,
,"Aluminum, Total Monomeric",Total Monomeric Aluminum (Organic + Inorganic Reactive),0,"Chemical,Inorganic,Metal,Trace Elements",Inorganic,Inorganic,Metal,Trace Elements,,,
,Aluminum/Steel Can,Aluminum/Steel Can,0,"Physical/Habitat,Metal,Non-Plastic,Debris,Trash",Physical/Habitat,Metal,Non-Plastic,Debris,Trash,,
"Ametryn, Total",Ametryn,Ametryn,834128,"Chemical,Organic,Triazines,Pesticide,Herbicide",Organic,Organic,Triazines,Pesticide,Herbicide,,
,"Amino-1,2,4-triazole, 3-","3-Amino-1,2,4-triazole (Amitrole)",0,"Chemical,Organic,Pesticide,Herbicide",Organic,Organic,Pesticide,Herbicide,,,
,"Amino-2-chloro-4(ethylamino)-s-triazine, 6-",6-Amino-2-chloro-4(ethylamino)-s-triazine (CEAT),0,"Chemical,Organic,Pesticide",Organic,Organic,Pesticide,,,,
,Aminocarb,Aminocarb,2032599,"Chemical,Organic,Carbamates,Pesticide,Insecticide",Organic,Organic,Carbamates,Pesticide,Insecticide,,
,Aminopyralid,Aminopyralid,150000000,"Chemical,Organic,Herbicide",Organic,Organic,Herbicide,,,,
,"Aminopyridine, 4-",4-Aminopyridine,504245,"Chemical,Organic,Pesticide",Organic,Organic,Pesticide,,,,
,Amitriptyline,Amitriptyline,50486,"Chemical,Organic,PPCP",Organic,Organic,PPCP,,,,
,Amlodipine,Amlodipine,88150429,"Chemical,Organic,PPCP",Organic,Organic,PPCP,,,,
"Ammonia as N, Total",Ammonia as N,Ammonia as N,7664417,"Chemical,Inorganic,Nutrient,Conventional",Inorganic,Inorganic,Nutrient,Conventional,,,
,"Ammonia as N, Unionized",Unionized Ammonia as N,7664417,"Chemical,Inorganic,Nutrient,Conventional",Inorganic,Inorganic,Nutrient,Conventional,,,
,Ammonia as NH3,Ammonia as NH3,1336216,"Chemical,Inorganic,Nutrient,Water Quality Measurements,Conventional",Inorganic,Inorganic,Nutrient,Water Quality Measurements,Conventional,,
,"Ammonia as NH3, Unionized",Unionized Ammonia as NH3,1336216,"Chemical,Inorganic,Nutrient,Water Quality Measurements,Conventional",Inorganic,Inorganic,Nutrient,Water Quality Measurements,Conventional,,
,Ammonium as N,Ammonium as N (NH4),0,"Chemical,Inorganic,Nutrient,Constituents,Conventional",Inorganic,Inorganic,Nutrient,Constituents,Conventional,,
,AMPA,Aminomethyl Phosphonic Acid (AMPA),1066519,"Chemical,Organic,Pesticide,Herbicide",Organic,Organic,Pesticide,Herbicide,,,
,Amphetamine,Amphetamine,300629,"Chemical,Organic,PPCP",Organic,Organic,PPCP,,,,
,AnalysisWeight,Analysis weight of sample,0,"Laboratory,Ancillary",Laboratory,Ancillary,,,,,
,Anatoxin-A,Anatoxin-A,64285069,"Chemical,Microbiological,Cyanotoxins",Microbiological,Microbiological,Cyanotoxins,,,,
,"Androstane, 5-alpha-",5-alpha-Androstane,438222,"Chemical,Organic,PPCP",Organic,Organic,PPCP,,,,
,Angling Pressure,Angling Pressure,0,Physical/Habitat,Physical/Habitat,,,,,,
,Anilazine,Anilazine,101053,"Chemical,Organic,Pesticide,Fungicide",Organic,Organic,Pesticide,Fungicide,,,
,Aniline,Aniline (Aminobenzene)(Phenylamine),0,"Chemical,Organic,VOC",Organic,Organic,VOC,,,,
,AnimalPresence,"describes presence of animals which may include tracks, scat, sounds or physical presence",0,"Physical/Habitat,Field Observations",Physical/Habitat,Field Observations,,,,,
,Anion-Cation Balance,Anion-Cation Balance,0,Inorganic,Inorganic,,,,,,
,Antennal segment,Antennal segment (#),0,Toxicity,Toxicity,,,,,,
"Anthracene, Total",Anthracene,Anthracene,120127,"Chemical,Organic,PAH,LMW PAH,Semi-VOCs",Organic,Organic,PAH,LMW PAH,Semi-VOCs,,
,Antimony,Antimony,7440360,"Chemical,Inorganic,Metal,Metalloids",Inorganic,Inorganic,Metal,Metalloids,,,
,Appliance,Appliance,0,"Physical/Habitat,Non-Plastic,Debris,Large,Trash",Physical/Habitat,Non-Plastic,Debris,Large,Trash,,
,AquaticLife,AquaticLife using Trash Protocol,0,Trash,Trash,,,,,,
,Arachidonic,Arachidonic,0,"Organic,Omega Fatty Acid",Organic,Omega Fatty Acid,,,,,
,Area,Area,0,"Physical/Habitat,Tissue,Collection Device",Physical/Habitat,Tissue,Collection Device,,,,
,Arsenate,Arsenate,0,"Inorganic,Metal",Inorganic,Metal,,,,,
"Arsenic, Total",Arsenic,Arsenic,7440382,"Chemical,Inorganic,Metal,Trace Elements,Metalloids",Inorganic,Inorganic,Metal,Trace Elements,Metalloids,,
"Arsenic, Total",Arsenic,Arsenic,7440382,"Chemical,Inorganic,Metal,Trace Elements,Metalloids",Inorganic,Inorganic,Metal,Trace Elements,Metalloids,,
,"Arsenic, Inorganic",Inorganic Arsenic,7440382,"Chemical,Inorganic,Metal,Trace Elements",Inorganic,Inorganic,Metal,Trace Elements,,,
